year,month,vtype,make,make
2016,4,01 - Motorcycle,DUCATI,3
2016,4,01 - Motorcycle,FORD,25
2016,4,01 - Motorcycle,GMC,1
2016,4,01 - Motorcycle,HARL,1
2016,4,01 - Motorcycle,HARLEY,3
2016,4,01 - Motorcycle,HARLEYDAVIDSON,1
2016,4,01 - Motorcycle,HOND,5
2016,4,01 - Motorcycle,HONDA,27
2016,4,01 - Motorcycle,HYUN,1
2016,4,01 - Motorcycle,JEEP,1
2016,4,01 - Motorcycle,KAWASAKI,2
2016,4,01 - Motorcycle,KAWI,2
2016,4,01 - Motorcycle,KAWK,5
2016,4,01 - Motorcycle,KAWSAKI,1
2016,4,01 - Motorcycle,MAZDA,3
2016,4,01 - Motorcycle,MERCEDEZ,3
2016,4,01 - Motorcycle,MITSUBISHI,1
2016,4,01 - Motorcycle,NISS,6
2016,4,01 - Motorcycle,PONTIAC,1
2016,4,01 - Motorcycle,SATURN,2
2016,4,01 - Motorcycle,SUBARU,1
2016,4,01 - Motorcycle,SUZI,2
2016,4,01 - Motorcycle,SUZU,1
2016,4,01 - Motorcycle,SUZUKI,2
2016,4,01 - Motorcycle,TOYOTA,14
2016,4,01 - Motorcycle,TOYT,12
2016,4,01 - Motorcycle,VOLKSWAGON,3
2016,4,01 - Motorcycle,VOLKWAGEN,1
2016,4,01 - Motorcycle,YAMAHA,14
2016,4,02 - Automobile,4X4,3
2016,4,02 - Automobile,ACUR,151
2016,4,02 - Automobile,ACURA,336
2016,4,02 - Automobile,AMGE,1
2016,4,02 - Automobile,ATWO,6
2016,4,02 - Automobile,AUDI,141
2016,4,02 - Automobile,BMW,449
2016,4,02 - Automobile,BUIC,33
2016,4,02 - Automobile,BUICK,99
2016,4,02 - Automobile,CAD,1
2016,4,02 - Automobile,CADI,52
2016,4,02 - Automobile,CADILAC,13
2016,4,02 - Automobile,CADILLAC,59
2016,4,02 - Automobile,CHEV,374
2016,4,02 - Automobile,CHEVERLOT,2
2016,4,02 - Automobile,CHEVEROLET,1
2016,4,02 - Automobile,CHEVOLET,1
2016,4,02 - Automobile,CHEVORLET,4
2016,4,02 - Automobile,CHEVROLET,335
2016,4,02 - Automobile,CHEVT,1
2016,4,02 - Automobile,CHEVY,337
2016,4,02 - Automobile,CHEVY VAN,1
2016,4,02 - Automobile,CHRV,3
2016,4,02 - Automobile,CHRY,96
2016,4,02 - Automobile,CHRYA,1
2016,4,02 - Automobile,CHRYS,6
2016,4,02 - Automobile,CHRYSLER,109
2016,4,02 - Automobile,CHRYSTLER,13
2016,4,02 - Automobile,CHYR,1
2016,4,02 - Automobile,CHYSLER,2
2016,4,02 - Automobile,CHYST,1
2016,4,02 - Automobile,CJHEVY,1
2016,4,02 - Automobile,CRY,2
2016,4,02 - Automobile,CRYSLER,6
2016,4,02 - Automobile,DAEWOO,5
2016,4,02 - Automobile,DODG,135
2016,4,02 - Automobile,DODGE,353
2016,4,02 - Automobile,E350,1
2016,4,02 - Automobile,FIAT,5
2016,4,02 - Automobile,FORD,1007
2016,4,02 - Automobile,GEO,12
2016,4,02 - Automobile,GMC,146
2016,4,02 - Automobile,HAUL,5
2016,4,02 - Automobile,HCRY,2
2016,4,02 - Automobile,HINDA,1
2016,4,02 - Automobile,HOBDA,1
2016,4,02 - Automobile,HODA,6
2016,4,02 - Automobile,HODNA,2
2016,4,02 - Automobile,HON,1
2016,4,02 - Automobile,HONA,1
2016,4,02 - Automobile,HOND,553
2016,4,02 - Automobile,HONDA,1755
2016,4,02 - Automobile,HUDS,1
2016,4,02 - Automobile,HUMM,4
2016,4,02 - Automobile,HUMMER,1
2016,4,02 - Automobile,HUND,1
2016,4,02 - Automobile,HYANDAI,1
2016,4,02 - Automobile,HYN,4
2016,4,02 - Automobile,HYUD,1
2016,4,02 - Automobile,HYUDAI,1
